"entity";"totalTeoricoRecomendado";"usuario";"totalResposta";"somaUp";"somaDown"
"blood";"12";"1_1320";"3";"19";"0"
"blood";"12";"1_948";"1";"7";"0"
"blood";"12";"1_5144";"1";"5";"0"
"blood";"12";"1_3632";"1";"0";"0"
"blood";"12";"1_560";"1";"2";"0"
