"x";"media"
"1";46.0357142857143
"2";33.5357142857143
"3";13.1071428571429
"4";18.5
"5";17.1428571428571
"6";14.0714285714286
"7";16.4285714285714
"8";14.3571428571429
"9";12.3928571428571
"10";8
"11";10.5357142857143
"12";7.42857142857143
"13";12.4642857142857
"14";9.35714285714286
"15";11.1785714285714
"16";8.60714285714286
"17";10.4642857142857
"18";9.57142857142857
"19";5.39285714285714
"20";7.96428571428571
"21";4.5
"22";7.92857142857143
"23";10.1428571428571
"24";5.57142857142857
"25";7.5
"26";8
"27";7.64285714285714
"28";7.92857142857143
"29";8
"30";3.85714285714286
"31";6.85714285714286
"32";2.17857142857143
"33";6.39285714285714
"34";0.285714285714286
"35";5.57142857142857
"36";4.03571428571429
"37";3.57142857142857
"38";5.25
"39";3
"40";4.10714285714286
"41";5.28571428571429
"42";4.10714285714286
"43";4.46428571428571
"44";3.07142857142857
"45";4.82142857142857
"46";3.10714285714286
"47";0
"48";4.85714285714286
"49";3.78571428571429
"50";3.85714285714286
