"id";"idOrigem";"reputacao";"nome"
"1_1368";"1368";"256";"daniel"
"1_1369";"1369";"159";"yannbane"
"1_137";"137";"1256";"KennyPeanuts"
"1_1371";"1371";"21";"Hanuman"
"1_1373";"1373";"366";"user1306322"
"1_1374";"1374";"28";"Jamie Iddles"
"1_1378";"1378";"121";"Avi"
"1_1379";"1379";"116";"user6521"
"1_138";"138";"546";"Bart Jacobs"
"1_1380";"1380";"26";"Harold"
"1_1383";"1383";"101";"Shaktyai"
"1_1384";"1384";"143";"gerrit"
"1_1387";"1387";"112";"Michael K"
"1_1389";"1389";"166";"James Porter"
"1_139";"139";"194";"Dragana Bozic"
"1_1390";"1390";"164";"Damien Joe"
"1_1394";"1394";"101";"Leonardo"
"1_1395";"1395";"103";"Jader Dias"
"1_1396";"1396";"165";"RioRaider"
"1_14";"14";"176";"Reven"
"1_140";"140";"49";"Pellegrino"
"1_1405";"1405";"136";"glethien"
"1_1406";"1406";"36";"mac01021"
"1_1407";"1407";"138";"kenny"
"1_1409";"1409";"51";"S. Robert James"
"1_1413";"1413";"138";"winerd"
"1_1419";"1419";"128";"Mahdi Ghiasi"
"1_1420";"1420";"36";"Nivedita Singh"
"1_1421";"1421";"81";"kalaz"
"1_1422";"1422";"141";"Keith B"
"1_1423";"1423";"101";"mblackwell8"
"1_1424";"1424";"16";"Georgia"
"1_1427";"1427";"974";"jkadlubowska"
"1_1428";"1428";"148";"Pranit Bauva"
"1_1429";"1429";"181";"Matt Shirley"
"1_143";"143";"46";"Emlena.PhD"
"1_1430";"1430";"208";"JBE"
"1_1432";"1432";"18";"user1432"
"1_1435";"1435";"826";"January"
"1_1436";"1436";"121";"Sejanus"
"1_1437";"1437";"21";"Bojan"
"1_1439";"1439";"26";"Po-Jen Lai"
"1_1441";"1441";"1316";"Bitwise"
"1_1442";"1442";"111";"mythealias"
"1_1443";"1443";"28";"Bojan"
"1_1448";"1448";"136";"Thorarin"
"1_145";"145";"169";"Cody Gray"
"1_1450";"1450";"594";"Lo Sauer"
"1_1451";"1451";"136";"Alpha"
"1_1452";"1452";"47";"VAR121"
"1_1454";"1454";"61";"mdna"
"1_1459";"1459";"123";"hydroparadise"
"1_146";"146";"590";"JoeHobbit"
"1_1460";"1460";"126";"startanewww"
"1_1463";"1463";"21";"Fiire"
"1_1467";"1467";"116";"Mahm00d"
"1_1470";"1470";"173";"think123"
"1_1472";"1472";"561";"Mew"
"1_1474";"1474";"278";"Matthew Higgins"
"1_1476";"1476";"111";"JamesKraw"
"1_148";"148";"250";"Dr.Dredel"
"1_1480";"1480";"196";"cdmckay"
"1_1481";"1481";"128";"Colin"
"1_1482";"1482";"16";"Cerberus"
"1_1483";"1483";"111";"drozzy"
"1_1486";"1486";"401";"bli"
"1_1488";"1488";"138";"Fyce"
"1_1489";"1489";"66";"IxariusSci"
"1_149";"149";"483";"walkytalky"
"1_1492";"1492";"29";"Entangledquessionare"
"1_1495";"1495";"1";"Paint Sukhun"
"1_1497";"1497";"96";"user3923"
"1_1498";"1498";"21";"Pan Pap"
"1_1501";"1501";"101";"GAT"
"1_1502";"1502";"11";"user832680"
"1_1503";"1503";"1";"user1503"
"1_1504";"1504";"23";"tquarton"
"1_1509";"1509";"26";"notalily"
"1_151";"151";"111";"hpixel"
"1_1515";"1515";"21";"kirty shakthawatt"
"1_1517";"1517";"256";"Soonts"
"1_1518";"1518";"21";"WLanger"
"1_1519";"1519";"160";"Sachin Kainth"
"1_152";"152";"393";"Christian"
"1_1520";"1520";"16";"mami"
"1_1521";"1521";"76";"Srihari Yamanoor"
"1_1522";"1522";"185";"S. Albano"
"1_1523";"1523";"118";"Bob Kaufman"
"1_1524";"1524";"128";"Jarnal"
"1_1526";"1526";"131";"Omar"
"1_1528";"1528";"101";"William Mioch"
"1_1529";"1529";"31";"Ben"
"1_1533";"1533";"20";"Shummy"
"1_1535";"1535";"71";"Jung Choi"
"1_1536";"1536";"226";"ericmjl"
"1_1537";"1537";"130";"Abdelrahman Esmat"
"1_154";"154";"375";"Abe"
"1_1544";"1544";"123";"gil_bz"
"1_1545";"1545";"21";"Ken"
"1_1547";"1547";"113";"Osiris"
"1_1548";"1548";"21";"Jooj"
"1_1550";"1550";"140";"Kazark"
"1_1553";"1553";"131";"kapsi"
"1_1554";"1554";"136";"user1554"
"1_1557";"1557";"123";"cartoonist"
"1_1558";"1558";"101";"Sid"
"1_1560";"1560";"101";"senderle"
"1_1562";"1562";"26";"Emre"
"1_1563";"1563";"96";"derobert"
"1_1565";"1565";"113";"Pablo Karlsson"
"1_1566";"1566";"123";"Steve Haigh"
"1_1568";"1568";"46";"Pelle"
"1_1569";"1569";"176";"alexBrand"
"1_157";"157";"263";"nmagerko"
"1_1576";"1576";"138";"M.B."
"1_1578";"1578";"135";"rumtscho"
"1_158";"158";"1174";"harpalss"
"1_1581";"1581";"123";"Brady"
"1_1583";"1583";"16";"Joey"
"1_1584";"1584";"304";"Suzan Cioc"
"1_1585";"1585";"114";"Jo Rijo"
"1_1586";"1586";"42";"TonyH"
"1_1587";"1587";"118";"MichaelS"
"1_1589";"1589";"148";"daven11"
"1_1590";"1590";"4270";"GriffinEvo"
"1_1591";"1591";"11";"Jen"
"1_1594";"1594";"108";"MacGyver"
"1_1597";"1597";"337";"RecursivelyIronic"
"1_16";"16";"179";"Jamie Banks"
"1_1602";"1602";"140";"Iszi"
"1_1607";"1607";"141";"Larry Harson"
"1_1609";"1609";"192";"ZafarS"
"1_161";"161";"188";"Aleksandr Levchuk"
"1_1610";"1610";"45";"Fatima"
"1_1611";"1611";"118";"Canageek"
"1_1616";"1616";"1";"Dave"
"1_1617";"1617";"21";"Phanet"
"1_1620";"1620";"121";"usumdelphini"
"1_1624";"1624";"147";"Simon Carlson"
"1_1625";"1625";"198";"Andrey"
"1_1627";"1627";"31";"Raju R Yadav"
"1_1629";"1629";"101";"m0nhawk"
"1_1631";"1631";"39";"Bruno Cremella"
"1_1633";"1633";"1";"bill h"
"1_1634";"1634";"9";"user2645"
"1_1635";"1635";"38";"Peter-i"
"1_1639";"1639";"21";"user523413"
"1_164";"164";"223";"jabal"
"1_1640";"1640";"71";"Dermot Harnett"
"1_1642";"1642";"121";"RedGrittyBrick"
"1_1643";"1643";"11";"wizard Lawrence"
"1_1648";"1648";"31";"Arun Seetharam"
"1_1656";"1656";"76";"KT8"
"1_1658";"1658";"123";"tohecz"
"1_1659";"1659";"1";"whatever"
"1_166";"166";"2816";"Konrad Rudolph"
"1_1660";"1660";"81";"QuietThud"
"1_1661";"1661";"150";"Dnaiel"
"1_1664";"1664";"29";"Tara"
"1_1665";"1665";"101";"tech"
"1_1666";"1666";"11";"Aaron Livni"
"1_1667";"1667";"289";"Alyosha"
"1_1668";"1668";"131";"DomagojHack"
"1_167";"167";"276";"dbikard"
"1_1672";"1672";"6";"Noopde"
"1_1673";"1673";"21";"carl"
"1_1675";"1675";"128";"Ben Morris"
"1_1677";"1677";"162";"joseph_morris"
"1_1686";"1686";"101";"Matheus Moreira"
"1_1688";"1688";"376";"Stuart R. Jefferys"
"1_1692";"1692";"38";"Jon Shaulfer"
"1_1693";"1693";"141";"user248237"
"1_1697";"1697";"11";"Dr. Stefan Gruenwald"
"1_17";"17";"269";"user815423426"
"1_1700";"1700";"26";"dhubris"
"1_1705";"1705";"158";"hhh"
"1_1709";"1709";"61";"single_digit"
"1_171";"171";"101";"Darqer"
"1_1710";"1710";"315";"single_digit"
"1_1711";"1711";"118";"Christian"
"1_1713";"1713";"108";"tcak"
"1_1715";"1715";"110";"Zizo"
"1_1719";"1719";"21";"Adam Sardar"
"1_172";"172";"348";"Polynomial"
"1_1720";"1720";"21";"Ryan Taylor"
"1_1721";"1721";"23";"Milan MuÂšo"
"1_1724";"1724";"141";"ahmadali shafiee"
"1_1726";"1726";"21";"Autumn Kulaga"
"1_1727";"1727";"156";"Richard Rodriguez"
"1_1728";"1728";"48";"Maddy Byahoo"
"1_173";"173";"265";"ghchinoy"
"1_1738";"1738";"101";"Diego"
"1_1739";"1739";"81";"biojl"
"1_1749";"1749";"118";"Benjamin"
"1_1755";"1755";"118";"Frankie"
"1_1756";"1756";"380";"CopyrightX"
"1_1757";"1757";"2886";"AndroidPenguin"
"1_1763";"1763";"564";"Ben"
"1_1765";"1765";"226";"Rafique"
"1_1766";"1766";"116";"Pankaj Phartiyal"
"1_177";"177";"1874";"jp89"
"1_1771";"1771";"36";"slimsuwan"
"1_1772";"1772";"240";"Engin Yapici"
"1_1773";"1773";"16";"Fun"
"1_1774";"1774";"143";"molf"
"1_1775";"1775";"138";"Cassie"
"1_1776";"1776";"111";"Nikos"
"1_1783";"1783";"111";"Crazy Chenz"
"1_1784";"1784";"116";"kto"
"1_1785";"1785";"31";"lagnajeet pradhan"
"1_1787";"1787";"33";"Littlegator"
"1_1789";"1789";"16";"Linda"
"1_1790";"1790";"141";"Fabio"
"1_1792";"1792";"11";"SRINIVAS"
"1_1794";"1794";"101";"Ben Haley"
"1_1795";"1795";"105";"neo"
"1_18";"18";"171";"AlanSE"
"1_180";"180";"131";"Lucas"
"1_1800";"1800";"133";"DurgaDatta"
"1_1802";"1802";"116";"Tyler Langan"
"1_1804";"1804";"2";"Dokkat"
"1_1808";"1808";"41";"Doug"
"1_1809";"1809";"177";"TheIndependentAquarius"
"1_1813";"1813";"873";"Brenton Horne"
"1_1814";"1814";"16";"Jeff"
"1_1816";"1816";"113";"Emil"
"1_1818";"1818";"101";"jackweirdy"
"1_1820";"1820";"56";"Sarah"
"1_1822";"1822";"16";"Josh"
"1_1826";"1826";"141";"Circeus"
"1_1827";"1827";"372";"cryptic ?"
"1_1829";"1829";"9";"Robert Tso"
"1_1836";"1836";"51";"James"
"1_1838";"1838";"196";"Sean Connolly"
"1_1839";"1839";"433";"sviter"
"1_184";"184";"1214";"Thomas Ingalls"
"1_1841";"1841";"108";"tylerc0816"
"1_1843";"1843";"41";"ecaglayan"
"1_1847";"1847";"113";"David H"
"1_185";"185";"985";"DVK"
"1_1852";"1852";"13";"Peter Aitch"
"1_1853";"1853";"578";"Keegan Keplinger"
"1_1854";"1854";"41";"Yves Mangelinckx"
"1_1855";"1855";"202";"Kyle."
"1_1856";"1856";"213";"atmosx"
"1_1857";"1857";"123";"Paul Manta"
"1_1858";"1858";"282";"Paul A. Clayton"
"1_1859";"1859";"113";"Nathan Reed"
"1_1860";"1860";"101";"Jeremy"
"1_1862";"1862";"97";"rraallvv"
"1_1864";"1864";"150";"Hanno Fietz"
"1_1865";"1865";"161";"GLaDOS"
"1_1866";"1866";"1";"Ted Holden"
"1_1867";"1867";"111";"Zach Rattner"
"1_1868";"1868";"128";"Harry Weston"
"1_1869";"1869";"149";"sammy"
"1_1870";"1870";"40";"Arafat"
"1_1871";"1871";"31";"user1871"
"1_1873";"1873";"9";"Vcy Beta"
"1_1874";"1874";"131";"Jeremy"
"1_1875";"1875";"121";"lynxoid"
"1_1876";"1876";"66";"Lynda Harding"
"1_1877";"1877";"16";"Charlie"
"1_1878";"1878";"1";"Akshay"
"1_1882";"1882";"23";"mwa1"
"1_1884";"1884";"128";"nbubis"
"1_1885";"1885";"133";"avirk"
"1_1888";"1888";"21";"Anya"
"1_1889";"1889";"19";"Erik Redburn"
"1_1891";"1891";"108";"Oleg Mihailik"
"1_1892";"1892";"11";"Carina"
"1_1893";"1893";"233";"dtech"
"1_1894";"1894";"116";"Yrogirg"
"1_1898";"1898";"66";"Philosophical Zombie"
"1_1899";"1899";"163";"Joe Z."
"1_19";"19";"186";"Kyra"
"1_1902";"1902";"119";"user1254498"
"1_1903";"1903";"121";"David Peterman"
"1_1904";"1904";"21";"Nick"
"1_1905";"1905";"118";"Link"
"1_1906";"1906";"387";"Atticus29"
"1_1909";"1909";"31";"Alex"
"1_1911";"1911";"71";"Kotatsu"
"1_1913";"1913";"65";"Rustyn Yazdanpour"
"1_1914";"1914";"13";"user1453094"
"1_1915";"1915";"54";"adnan tanvir"
"1_1916";"1916";"580";"MySky"
"1_1917";"1917";"390";"Alexandria"
"1_1919";"1919";"36";"Whitney"
"1_192";"192";"583";"Steve Lianoglou"
"1_1923";"1923";"1";"nobrandheroes"
"1_194";"194";"63";"Andrey"
"1_2";"2";"126";"Aarthi"
"1_200";"200";"51";"user200"
"1_201";"201";"51";"chaoticdawn"
"1_203";"203";"981";"Douglas S. Stones"
"1_204";"204";"1556";"Amy"
"1_205";"205";"317";"David"
"1_207";"207";"183";"ogerard"
"1_209";"209";"31";"Naofumi Kagami"
"1_210";"210";"81";"Rob O'Callahan"
"1_219";"219";"1964";"KAM"
"1_22";"22";"121";"Tuva"
"1_221";"221";"121";"Vic Goldfeld"
"1_222";"222";"746";"David"
"1_223";"223";"841";"gkadam"
"1_224";"224";"165";"hippietrail"
"1_225";"225";"168";"Beofett"
"1_226";"226";"582";"Andrei"
"1_23";"23";"493";"Vebjorn Ljosa"
"1_230";"230";"121";"Khader Shameer"
"1_231";"231";"1431";"mgkrebbs"
"1_233";"233";"39";"raygozag"
"1_234";"234";"183";"Pierre"
"1_235";"235";"181";"Dave"
"1_237";"237";"199";"Deniz"
"1_238";"238";"1348";"Gabriel Fair"
"1_239";"239";"1565";"Ilmari Karonen"
"1_245";"245";"242";"Maxim V. Pavlov"
"1_246";"246";"65";"Khaloymes"
"1_249";"249";"101";"Jay Bazuzi"
"1_25";"25";"1505";"Nick T"
"1_250";"250";"273";"magnetar"
"1_251";"251";"601";"kate"
"1_252";"252";"144";"tim_hutton"
"1_258";"258";"168";"Casebash"
"1_26";"26";"272";"Phonon"
"1_262";"262";"146";"Tim"
"1_263";"263";"758";"Pete"
"1_264";"264";"41";"Richard Wonka"
"1_265";"265";"38";"rdhs"
"1_277";"277";"1239";"Aleksandra Kos"
"1_279";"279";"1300";"Larian LeQuella"
"1_28";"28";"4283";"Gergana Vandova"
"1_284";"284";"161";"Faheem Mitha"
"1_285";"285";"69";"dar7yl"
"1_286";"286";"41";"camurgo"
"1_288";"288";"151";"ripper234"
"1_29";"29";"202";"luispedro"
"1_2927";"2927";"106";"ted.strauss"
"1_2928";"2928";"128";"Mike Graham"
"1_2930";"2930";"21";"user521469"
"1_2931";"2931";"118";"silvado"
"1_2935";"2935";"16";"benjamin"
"1_2938";"2938";"1905";"Jack Aidley"
"1_2939";"2939";"36";"Saraah Kaae"
"1_294";"294";"101";"Adam Zalcman"
"1_2940";"2940";"111";"Aaron Anodide"
"1_2942";"2942";"118";"Roman"
"1_2943";"2943";"6";"Alex"
"1_2944";"2944";"173";"Cat"
"1_2945";"2945";"121";"Urukec"
"1_2947";"2947";"113";"tacos_tacos_tacos"
"1_2949";"2949";"101";"Martin SchrÃ¶der"
"1_295";"295";"36";"Saeid Kadkhodaei"
"1_2952";"2952";"83";"User 17670"
"1_2954";"2954";"155";"5th"
"1_2956";"2956";"111";"erik"
"1_2957";"2957";"26";"user1909257"
"1_2958";"2958";"123";"deostroll"
"1_2961";"2961";"108";"Juhele"
"1_2962";"2962";"11";"Kyle"
"1_2967";"2967";"81";"user2967"
"1_2969";"2969";"28";"user2969"
"1_2971";"2971";"31";"user2001508"
"1_2972";"2972";"101";"s???s? ????"
"1_2973";"2973";"17";"user2973"
"1_2974";"2974";"121";"Ioanna"
"1_2975";"2975";"28";"OAhc"
"1_2977";"2977";"21";"Kim Dyaggnar"
"1_298";"298";"101";"Brightblades"
"1_2982";"2982";"123";"Daniele B"
"1_2985";"2985";"146";"mo."
"1_2987";"2987";"153";"tom"
"1_2988";"2988";"11";"Cyber-Logic"
"1_2989";"2989";"103";"Power-Inside"
"1_299";"299";"183";"Joe Clarke"
"1_2990";"2990";"16";"ejstronge"
"1_2993";"2993";"16";"user2993"
"1_2995";"2995";"111";"Lela Dax"
"1_2998";"2998";"21";"Avinash srivastava"
"1_3000";"3000";"21";"Fibonacci"
"1_3001";"3001";"78";"Dan.Riggins"
"1_3003";"3003";"11";"Roberto Santos"
"1_3004";"3004";"131";"Blessed Geek"
"1_3006";"3006";"26";"user3006"
"1_301";"301";"211";"a little don"
"1_3010";"3010";"71";"Francisco P."
"1_3011";"3011";"123";"Mark"
"1_3012";"3012";"40";"CornSmith"
"1_3013";"3013";"143";"Milo Chen"
"1_3016";"3016";"133";"Qbik"
"1_3020";"3020";"88";"Konrad Kording"
"1_3022";"3022";"46";"user3022"
"1_3023";"3023";"226";"AndyL"
"1_3025";"3025";"1";"james"
"1_3026";"3026";"61";"Alexandra"
"1_3029";"3029";"69";"bpeter"
"1_303";"303";"474";"Tobias Kienzler"
"1_3031";"3031";"13";"Jeff"
"1_3032";"3032";"321";"Brian"
"1_3034";"3034";"3";"lizhys"
"1_3035";"3035";"106";"Kasper"
"1_3037";"3037";"232";"mart"
"1_3039";"3039";"1";"user1788005"
"1_304";"304";"148";"Johannes Schaub - litb"
"1_3042";"3042";"105";"YAK"
"1_3043";"3043";"86";"Laura"
"1_3044";"3044";"11";"Rachel W"
"1_3045";"3045";"111";"user001"
"1_3046";"3046";"106";"Bernd Jendrissek"
"1_3047";"3047";"1";"nabil"
"1_3048";"3048";"113";"Volodymyr"
"1_3049";"3049";"111";"Cayetano GonÃ§alves"
"1_3052";"3052";"130";"arielschon12"
"1_3053";"3053";"965";"Drosophila"
"1_3054";"3054";"11";"user3054"
"1_3055";"3055";"130";"kashif"
"1_3057";"3057";"46";"Pavan Ramkumar"
"1_3058";"3058";"11";"Sharon"
"1_3059";"3059";"1874";"dd3"
"1_3061";"3061";"241";"nbogard"
"1_3062";"3062";"21";"just-a-student"
"1_3063";"3063";"61";"Piotr Chojnacki"
"1_3064";"3064";"108";"Gracchus"
"1_3066";"3066";"111";"Osiris Xu"
"1_3068";"3068";"56";"Dope Smokin' Doc"
"1_307";"307";"3361";"LanceLafontaine"
"1_3072";"3072";"146";"Srikant Krishna"
"1_3073";"3073";"113";"Gigi"
"1_3074";"3074";"168";"user34790"
"1_3077";"3077";"106";"constantius"
"1_308";"308";"159";"Werner Schmitt"
"1_3082";"3082";"35";"Armacino"
"1_3085";"3085";"6";"user3085"
"1_3087";"3087";"1";"skymningen"
"1_3088";"3088";"121";"thiton"
"1_3089";"3089";"118";"Flethuseo"
"1_3090";"3090";"53";"Abigailb55"
"1_3091";"3091";"18";"Damien Bezborodov"
"1_3094";"3094";"99";"Peter Salazar"
"1_3096";"3096";"11";"Kim Amburgey"
"1_3097";"3097";"116";"Prabhu"
"1_3098";"3098";"9";"user129789"
"1_3099";"3099";"36";"user3099"
"1_31";"31";"659";"Ctina"
"1_3100";"3100";"6";"Tull Pung"
"1_3103";"3103";"101";"Amr"
"1_3109";"3109";"6";"Susanta"
"1_3111";"3111";"31";"Knighthammer7564"
"1_3112";"3112";"14";"bornie"
"1_3114";"3114";"101";"Erik Garrison"
"1_3115";"3115";"16";"Max D."
"1_3116";"3116";"143";"m3th0dman"
"1_3117";"3117";"119";"Brock Adams"
"1_3118";"3118";"232";"Derfder"
"1_3119";"3119";"361";"suvidu"
"1_312";"312";"153";"arik-so"
"1_3122";"3122";"36";"Karn Ratana"
"1_3124";"3124";"16";"osazuwa"
"1_3125";"3125";"4";"ChickenHead"
"1_3129";"3129";"6";"John Smith"
"1_313";"313";"136";"chkuo"
"1_3132";"3132";"118";"rold2007"
"1_3134";"3134";"1";"Sheila Nathans"
"1_3136";"3136";"118";"Charles Wesley"
"1_3138";"3138";"23";"xyz"
"1_3139";"3139";"117";"ohcanada"
"1_314";"314";"148";"leo"
"1_3140";"3140";"111";"Sidharth Mudgal"
"1_3141";"3141";"192";"laggingreflex"
"1_3142";"3142";"13";"user3142"
"1_3146";"3146";"128";"Dheeraj V.S."
